File,Extension,Size(KB),Last Modified
.dockerignore,,0.14,2026-08-17 20:16:41
.env,,0.93,2026-09-08 19:07:34
.env.example,.example,0.19,2026-05-29 16:55:10
.env.local,.local,0.93,2026-09-08 19:05:52
.envbackup,,0.47,2026-08-30 16:22:32
alembic.ini,.ini,0.62,2026-06-01 14:47:55
codebase_structure.txt,.txt,0.05,2026-08-30 16:56:29
createfiest.py,.py,1.84,2026-08-17 18:01:05
deliverables,,6.52,2026-08-10 11:27:31
docker-compose copy 2.yml,.yml,1.04,2026-07-15 15:12:33
docker-compose copy 3.yml,.yml,1.06,2026-07-21 18:52:03
docker-compose copy.yml,.yml,0.7,2026-07-14 15:28:42
docker-compose.local-infra.yml,.yml,0.7,2026-09-08 17:44:45
docker-compose.yml,.yml,2.07,2026-08-28 16:28:41
docker-compose_phase4.yml,.yml,5.75,2026-09-08 17:18:21
docker-compose_redis.yml,.yml,0.58,2026-07-20 19:05:21
docker-compose_updated.yml,.yml,1.69,2026-07-21 18:47:14
Dockerfile,,0.22,2026-07-15 15:44:29
fs2.txt,.txt,374.38,2026-07-15 11:06:51
implementations.md,.md,0.81,2026-08-18 11:21:11
locaenv.txt,.txt,0.71,2026-09-09 11:16:36
portal_implementations.md,.md,1.1,2026-08-28 14:59:07
README.md,.md,0.58,2026-07-31 14:58:26
redistest.py,.py,0.12,2026-07-15 15:23:17
ref,,3.67,2026-08-17 19:55:54
repo_structure1.txt,.txt,0.05,2026-08-31 12:36:27
repo_structure1stsep.txt,.txt,0.05,2026-09-01 11:36:42
requirements.txt,.txt,0.26,2026-09-08 16:15:16
test.py,.py,0.56,2026-08-19 19:26:02
test1.py,.py,0.1,2026-08-31 18:55:43
utility.py,.py,1.63,2026-08-30 18:36:23
alembic\env.py,.py,1.33,2026-08-31 18:39:24
alembic\README,,0.04,2026-06-05 15:48:08
alembic\script.py.mako,.mako,0.62,2026-06-05 15:48:08
app\celery_app.py,.py,0.67,2026-09-08 17:07:14
app\config.py,.py,1.63,2026-09-08 16:17:14
app\db_legacy.py,.py,0.52,2026-07-22 15:50:07
app\logging_config.py,.py,0.25,2026-05-31 16:49:32
app\main.py,.py,2.46,2026-08-31 18:23:52
app\middleware.py,.py,0.88,2026-06-01 18:55:56
app\schemas_test.py,.py,3.34,2026-08-30 18:33:36
app\seed_catalogue.py,.py,2.41,2026-08-31 19:25:00
app\__init__.py,.py,0.0,2026-05-29 14:34:53
entra-test\.env,,0.15,2026-08-19 12:46:37
entra-test\app.py,.py,1.04,2026-08-19 12:58:11
entra-test\requirements.txt,.txt,0.03,2026-08-19 12:54:23
portal\.gitignore,,0.25,2026-08-17 18:30:36
portal\eslint.config.js,.js,0.58,2026-08-17 18:35:22
portal\index.html,.html,0.35,2026-08-17 18:35:22
portal\package-lock.json,.json,137.92,2026-08-17 18:48:54
portal\package.json,.json,0.91,2026-08-17 18:48:54
portal\README.md,.md,2.37,2026-08-17 18:35:22
portal\tsconfig.app.json,.json,0.64,2026-08-17 18:30:36
portal\tsconfig.json,.json,0.12,2026-08-17 18:30:36
portal\tsconfig.node.json,.json,0.54,2026-08-17 18:30:36
portal\vite.config.ts,.ts,0.16,2026-08-17 18:30:36
project_reference\generate_project_structure.py,.py,3.47,2026-09-01 11:43:11
project_reference\Master_Context copy.md,.md,7.05,2026-07-20 18:17:35
project_reference\Master_Context.md,.md,6.54,2026-08-17 16:00:50
project_reference\Master_Context_ph2.md,.md,6.45,2026-07-14 14:38:20
project_reference\master_context_updated.txt,.txt,6.12,2026-08-04 14:20:19
project_reference\Milestones.txt,.txt,6.2,2026-08-08 11:44:18
project_reference\new_approach.md,.md,7.84,2026-08-05 19:00:16
project_reference\new_milestones.md,.md,2.85,2026-08-05 19:00:16
project_reference\new_plans.md,.md,1.78,2026-08-06 17:40:26
